省份,城市,区县,一级场景类型,二级场景类型,场点名称,2019年6月前网络覆盖情况,场点编号,场点边界,获取方式,数据来源,场点在网站中的ID,初核结果（通过/未通过）,未通过审核原因,网优复核结果（通过/未通过）,是否是规划站（是/否）,是否有楼宇信息（是/否）
湖南省,株洲市,天元区,商业购物区,大型商业购物区,国美电器,,湖南省-株洲市-天元区-商业购物区-大型商业购物区-国美电器,"{[113.07896,27.835197];[113.077406,27.834447];[113.078057,27.833577];[113.079575,27.834416];[113.07896,27.835197]}",网站爬取,高德地图,B0FFHU5LPY,,,,,
湖南省,株洲市,天元区,商业购物区,大型商业购物区,株百(庐山店),,湖南省-株洲市-天元区-商业购物区-大型商业购物区-株百(庐山店),"{[113.115449688729,27.8410438977585];[113.116593373477,27.8409717265279];[113.116848560538,27.8406328658004];[113.116478437197,27.8393343741514];[113.115941104111,27.8394529946341];[113.116148175205,27.8400862496862];[113.115849969836,27.8404350873921];[113.115444733243,27.8404678006673];[113.115449688729,27.8410438977585]}",网站爬取,高德地图,B0FFHQB04C,,,,,
湖南省,株洲市,天元区,商业购物区,大型商业购物区,沃尔玛超市,,湖南省-株洲市-天元区-商业购物区-大型商业购物区-沃尔玛超市,"{[113.118422,27.822228];[113.118438,27.821369];[113.117118,27.82118];[113.11565,27.82162];[113.11472,27.822361];[113.115686,27.82294];[113.117043,27.82218];[113.118422,27.822228]}",网站爬取,高德地图,B0FFHLKCNX,,,,,
湖南省,株洲市,天元区,商业购物区,大型商业购物区,中影国际影城,,湖南省-株洲市-天元区-商业购物区-大型商业购物区-中影国际影城,"{[113.118422,27.822228];[113.118438,27.821369];[113.117118,27.82118];[113.11565,27.82162];[113.11472,27.822361];[113.115686,27.82294];[113.117043,27.82218];[113.118422,27.822228]}",网站爬取,高德地图,B0FFHLKCNX,,,,,
湖南省,株洲市,天元区,商业购物区,大型商业购物区,神农城南区购物街,,湖南省-株洲市-天元区-商业购物区-大型商业购物区-神农城南区购物街,"{[113.118422,27.822228];[113.118438,27.821369];[113.117118,27.82118];[113.11565,27.82162];[113.11472,27.822361];[113.115686,27.82294];[113.117043,27.82218];[113.118422,27.822228]}",网站爬取,高德地图,B0FFHLKCNX,,,,,
湖南省,株洲市,天元区,商业购物区,大型商业购物区,神农美食广场,,湖南省-株洲市-天元区-商业购物区-大型商业购物区-神农美食广场,"{[113.118422,27.822228];[113.118438,27.821369];[113.117118,27.82118];[113.11565,27.82162];[113.11472,27.822361];[113.115686,27.82294];[113.117043,27.82218];[113.118422,27.822228]}",网站爬取,高德地图,B0FFHLKCNX,,,,,
湖南省,株洲市,天元区,宾馆酒店区,五星级及以上宾馆酒店,天元区延年广场酒店,,湖南省-株洲市-天元区-宾馆酒店区-五星级及以上宾馆酒店-天元区延年广场酒店,"{[113.118422,27.822228];[113.118438,27.821369];[113.117118,27.82118];[113.11565,27.82162];[113.11472,27.822361];[113.115686,27.82294];[113.117043,27.82218];[113.118422,27.822228]}",网站爬取,高德地图,B0FFHLKCNX,,,,,
湖南省,株洲市,天元区,商务办公区,一类商务办公区,日盛银座,,湖南省-株洲市-天元区-商务办公区-一类商务办公区-日盛银座,"{[113.118422,27.822228];[113.118438,27.821369];[113.117118,27.82118];[113.11565,27.82162];[113.11472,27.822361];[113.115686,27.82294];[113.117043,27.82218];[113.118422,27.822228]}",网站爬取,高德地图,B0FFHLKCNX,,,,,
湖南省,株洲市,天元区,商务办公区,一类商务办公区,优易大厦,,湖南省-株洲市-天元区-商务办公区-一类商务办公区-优易大厦,"{[113.118422,27.822228];[113.118438,27.821369];[113.117118,27.82118];[113.11565,27.82162];[113.11472,27.822361];[113.115686,27.82294];[113.117043,27.82218];[113.118422,27.822228]}",网站爬取,高德地图,B0FFHLKCNX,,,,,
湖南省,株洲市,天元区,商业购物区,大型商业购物区,苏宁易购,,湖南省-株洲市-天元区-商业购物区-大型商业购物区-苏宁易购,"{[113.118422,27.822228];[113.118438,27.821369];[113.117118,27.82118];[113.11565,27.82162];[113.11472,27.822361];[113.115686,27.82294];[113.117043,27.82218];[113.118422,27.822228]}",网站爬取,高德地图,B0FFHLKCNX,,,,,
湖南省,株洲市,天元区,住宅,大型住宅小区-高层,恒豪·翠谷城二期,,湖南省-株洲市-天元区-住宅-大型住宅小区-高层-恒豪·翠谷城二期,"{[113.08078990166214,27.833638910721696];[113.08102073572147,27.83332074155116];[113.08119762046968,27.832954594047763];[113.08121362686543,27.832717548248095];[113.08138249602433,27.832641452520168];[113.08147342905849,27.832565395913974];[113.08160034664775,27.832333297461467];[113.08158937296442,27.83211926864433];[113.08157839567619,27.831949246855302];[113.08158639480281,27.83188223232642];[113.08160238732127,27.8318182144304];[113.08164035901883,27.831795192522886];[113.08190815813828,27.831674046433033];[113.08202607822517,27.831530968852498];[113.08208005055664,27.83135991675877];[113.08203409813532,27.831212914546203];[113.08192719068585,27.831096945727317];[113.08179331026984,27.830916979986725];[113.08183029174127,27.830788942186857];[113.08192923040752,27.830593864811643];[113.08200718673612,27.830387795848132];[113.08205017801234,27.830088728500552];[113.08209315239623,27.829996694121384];[113.08208217572506,27.829815670438173];[113.08203422968575,27.829609659847073];[113.0819862789229,27.829462658729998];[113.08200527002042,27.829391638667666];[113.08203724976924,27.829336615159047];[113.08209320984041,27.82929658305133];[113.08212318889142,27.829270565184252];[113.08225909106707,27.82919449133547];[113.0825378893443,27.829087350204123];[113.08265879945796,27.82908529712654];[113.08280668721738,27.829123239513375];[113.08294857405659,27.829239197774335];[113.0838378333851,27.83063606336112];[113.08299933288852,27.83172757176411];[113.08278147273435,27.831960701063313];[113.08266153542827,27.832275802921508];[113.0825695728733,27.832652903082867];[113.08240668222066,27.832810000013012];[113.08203094255083,27.83313722258619];[113.08179510779408,27.833365369191412];[113.08157026442137,27.833626518286103];[113.08150829777288,27.833823579765095];[113.0814873043315,27.83394860994638];[113.08139337012186,27.83406767487076];[113.08136638920003,27.834100693404814];[113.08078990166214,27.833638910721696]}",网站爬取,高德地图,B0FFHI10L2,,,,,
湖南省,株洲市,天元区,住宅,大型住宅小区-高层,恒豪·翠谷城一期,,湖南省-株洲市-天元区-住宅-大型住宅小区-高层-恒豪·翠谷城一期,"{[113.08078990166214,27.833638910721696];[113.08102073572147,27.83332074155116];[113.08119762046968,27.832954594047763];[113.08121362686543,27.832717548248095];[113.08138249602433,27.832641452520168];[113.08147342905849,27.832565395913974];[113.08160034664775,27.832333297461467];[113.08158937296442,27.83211926864433];[113.08157839567619,27.831949246855302];[113.08158639480281,27.83188223232642];[113.08160238732127,27.8318182144304];[113.08164035901883,27.831795192522886];[113.08190815813828,27.831674046433033];[113.08202607822517,27.831530968852498];[113.08208005055664,27.83135991675877];[113.08203409813532,27.831212914546203];[113.08192719068585,27.831096945727317];[113.08179331026984,27.830916979986725];[113.08183029174127,27.830788942186857];[113.08192923040752,27.830593864811643];[113.08200718673612,27.830387795848132];[113.08205017801234,27.830088728500552];[113.08209315239623,27.829996694121384];[113.08208217572506,27.829815670438173];[113.08203422968575,27.829609659847073];[113.0819862789229,27.829462658729998];[113.08200527002042,27.829391638667666];[113.08203724976924,27.829336615159047];[113.08209320984041,27.82929658305133];[113.08212318889142,27.829270565184252];[113.08225909106707,27.82919449133547];[113.0825378893443,27.829087350204123];[113.08265879945796,27.82908529712654];[113.08280668721738,27.829123239513375];[113.08294857405659,27.829239197774335];[113.0838378333851,27.83063606336112];[113.08299933288852,27.83172757176411];[113.08278147273435,27.831960701063313];[113.08266153542827,27.832275802921508];[113.0825695728733,27.832652903082867];[113.08240668222066,27.832810000013012];[113.08203094255083,27.83313722258619];[113.08179510779408,27.833365369191412];[113.08157026442137,27.833626518286103];[113.08150829777288,27.833823579765095];[113.0814873043315,27.83394860994638];[113.08139337012186,27.83406767487076];[113.08136638920003,27.834100693404814];[113.08078990166214,27.833638910721696]}",网站爬取,高德地图,B0FFHI10L2,,,,,
湖南省,株洲市,石峰区,住宅,大型住宅小区-高层,印象·华都1期,,湖南省-株洲市-石峰区-住宅-大型住宅小区-高层-印象·华都1期,"{[113.143935504651,27.8768587000271];[113.143929509583,27.876683660959];[113.143911490289,27.8765736138372];[113.143857414301,27.8764645098287];[113.143564963651,27.8763740328232];[113.143100310201,27.875522159216];[113.1428579643,27.8751667204956];[113.142683710848,27.8749804175481];[113.141650072768,27.8757169454165];[113.141655070563,27.8758359731731];[113.14231802242,27.8765291114424];[113.142565391831,27.8766505155586];[113.142941949211,27.8769331498926];[113.143381623879,27.877028854946];[113.143550888914,27.8770171192981];[113.143902447865,27.8769176576509];[113.143935504651,27.8768587000271]}",网站爬取,高德地图,B0FFHHM1IK,,,,,
湖南省,株洲市,荷塘区,住宅,大型住宅小区-高层,汇隆缤纷世家二期,,湖南省-株洲市-荷塘区-住宅-大型住宅小区-高层-汇隆缤纷世家二期,"{[113.161011,27.858173];[113.161658,27.858094];[113.161676,27.857849];[113.162839,27.857549];[113.162323,27.85645];[113.161632,27.856434];[113.161011,27.858173]}",网站爬取,高德地图,B0FFHDGXBT,,,,,
湖南省,株洲市,荷塘区,住宅,大型住宅小区-高层,汇隆缤纷世家一期,,湖南省-株洲市-荷塘区-住宅-大型住宅小区-高层-汇隆缤纷世家一期,"{[113.161011,27.858173];[113.161658,27.858094];[113.161676,27.857849];[113.162839,27.857549];[113.162323,27.85645];[113.161632,27.856434];[113.161011,27.858173]}",网站爬取,高德地图,B0FFHDGXBT,,,,,
湖南省,株洲市,天元区,住宅,大型住宅小区-高层,庐山春天二期曼城,,湖南省-株洲市-天元区-住宅-大型住宅小区-高层-庐山春天二期曼城,"{[113.113231,27.835813];[113.114453,27.837489];[113.115988,27.836981];[113.115674,27.835671];[113.113231,27.835813]}",网站爬取,高德地图,B0FFHBK2V8,,,,,
湖南省,株洲市,天元区,住宅,大型住宅小区-高层,庐山春天一期桃李苑,,湖南省-株洲市-天元区-住宅-大型住宅小区-高层-庐山春天一期桃李苑,"{[113.113231,27.835813];[113.114453,27.837489];[113.115988,27.836981];[113.115674,27.835671];[113.113231,27.835813]}",网站爬取,高德地图,B0FFHBK2V8,,,,,
湖南省,株洲市,天元区,住宅,大型住宅小区-高层,庐山春天三期早安华晨,,湖南省-株洲市-天元区-住宅-大型住宅小区-高层-庐山春天三期早安华晨,"{[113.113231,27.835813];[113.114453,27.837489];[113.115988,27.836981];[113.115674,27.835671];[113.113231,27.835813]}",网站爬取,高德地图,B0FFHBK2V8,,,,,
湖南省,株洲市,荷塘区,住宅,大型住宅小区-高层,城发·郦城(建设中),,湖南省-株洲市-荷塘区-住宅-大型住宅小区-高层-城发·郦城(建设中),"{[113.166590993183,27.8761865385923];[113.165263575434,27.8745857799808];[113.166591221,27.8734020693335];[113.167091181186,27.8734310134779];[113.167531987428,27.8739639322161];[113.167585936663,27.8758603536308];[113.167552866996,27.8759323035611];[113.167101980842,27.8761394906413];[113.166590993183,27.8761865385923]}",网站爬取,高德地图,B0FFH93385,,,,,
湖南省,株洲市,天元区,住宅,大型住宅小区-高层,华晨山水印象二城,,湖南省-株洲市-天元区-住宅-大型住宅小区-高层-华晨山水印象二城,"{[113.069942428214,27.8131100666219];[113.07131516121,27.8131093746134];[113.071379056664,27.8131253003256];[113.071434964209,27.813153237636];[113.071467906817,27.813206206405];[113.071492860281,27.813284188634];[113.071997879266,27.8154229222635];[113.07199388183,27.8154689340983];[113.071977904518,27.8155009578173];[113.071942958195,27.8155220021245];[113.071902022344,27.8155320518256];[113.069275367467,27.815507289819];[113.069225589921,27.8138340946788];[113.069937378149,27.8138261837701];[113.069942428214,27.8131100666219]}",网站爬取,高德地图,B0FFH8AQMO,,,,,
湖南省,株洲市,天元区,住宅,大型住宅小区-高层,华晨山水印象一期,,湖南省-株洲市-天元区-住宅-大型住宅小区-高层-华晨山水印象一期,"{[113.069942428214,27.8131100666219];[113.07131516121,27.8131093746134];[113.071379056664,27.8131253003256];[113.071434964209,27.813153237636];[113.071467906817,27.813206206405];[113.071492860281,27.813284188634];[113.071997879266,27.8154229222635];[113.07199388183,27.8154689340983];[113.071977904518,27.8155009578173];[113.071942958195,27.8155220021245];[113.071902022344,27.8155320518256];[113.069275367467,27.815507289819];[113.069225589921,27.8138340946788];[113.069937378149,27.8138261837701];[113.069942428214,27.8131100666219]}",网站爬取,高德地图,B0FFH8AQMO,,,,,
湖南省,株洲市,天元区,住宅,大型住宅小区-多层,明月湖小区三期,,湖南省-株洲市-天元区-住宅-大型住宅小区-多层-明月湖小区三期,"{[113.11250476619708,27.81675076996945];[113.11251378310422,27.81662075726297];[113.11180530554324,27.816586178935584];[113.11176532417483,27.816036062110122];[113.11177438076025,27.81541897402193];[113.11177341595614,27.814981905845695];[113.11181748180286,27.81453487200666];[113.11241588191068,27.814590363556];[113.1131593982237,27.81468299637506];[113.11483364725045,27.814869491694278];[113.1153609851127,27.815898133207064];[113.11502670776278,27.816000841881394];[113.11524482040566,27.81676115943502];[113.11550803090847,27.81680040910093];[113.1154839896318,27.817064427621045];[113.11538588884667,27.8173193761173];[113.11517968056819,27.81782726469319];[113.11447414548648,27.8175595840576];[113.11418686832734,27.81824543532012];[113.11216947401559,27.81751061426905];[113.11250476619708,27.81675076996945]}",网站爬取,高德地图,B0FFH3GWL0,,,,,
湖南省,株洲市,天元区,住宅,大型住宅小区-多层,明月湖小区二期,,湖南省-株洲市-天元区-住宅-大型住宅小区-多层-明月湖小区二期,"{[113.11250476619708,27.81675076996945];[113.11251378310422,27.81662075726297];[113.11180530554324,27.816586178935584];[113.11176532417483,27.816036062110122];[113.11177438076025,27.81541897402193];[113.11177341595614,27.814981905845695];[113.11181748180286,27.81453487200666];[113.11241588191068,27.814590363556];[113.1131593982237,27.81468299637506];[113.11483364725045,27.814869491694278];[113.1153609851127,27.815898133207064];[113.11502670776278,27.816000841881394];[113.11524482040566,27.81676115943502];[113.11550803090847,27.81680040910093];[113.1154839896318,27.817064427621045];[113.11538588884667,27.8173193761173];[113.11517968056819,27.81782726469319];[113.11447414548648,27.8175595840576];[113.11418686832734,27.81824543532012];[113.11216947401559,27.81751061426905];[113.11250476619708,27.81675076996945]}",网站爬取,高德地图,B0FFH3GWL0,,,,,
湖南省,株洲市,天元区,住宅,大型住宅小区-多层,明月湖小区一期,,湖南省-株洲市-天元区-住宅-大型住宅小区-多层-明月湖小区一期,"{[113.11250476619708,27.81675076996945];[113.11251378310422,27.81662075726297];[113.11180530554324,27.816586178935584];[113.11176532417483,27.816036062110122];[113.11177438076025,27.81541897402193];[113.11177341595614,27.814981905845695];[113.11181748180286,27.81453487200666];[113.11241588191068,27.814590363556];[113.1131593982237,27.81468299637506];[113.11483364725045,27.814869491694278];[113.1153609851127,27.815898133207064];[113.11502670776278,27.816000841881394];[113.11524482040566,27.81676115943502];[113.11550803090847,27.81680040910093];[113.1154839896318,27.817064427621045];[113.11538588884667,27.8173193761173];[113.11517968056819,27.81782726469319];[113.11447414548648,27.8175595840576];[113.11418686832734,27.81824543532012];[113.11216947401559,27.81751061426905];[113.11250476619708,27.81675076996945]}",网站爬取,高德地图,B0FFH3GWL0,,,,,
湖南省,株洲市,石峰区,住宅,大型住宅小区-高层,都市兰亭二期,,湖南省-株洲市-石峰区-住宅-大型住宅小区-高层-都市兰亭二期,"{[113.09841151763607,27.876535777681653];[113.09954359709486,27.87664011702393];[113.10096580141503,27.876560584048924];[113.10086717724256,27.871786744891065];[113.09996004522483,27.87177443036547];[113.09959297412327,27.872120371792892];[113.09902883071315,27.873220388352088];[113.09964088002641,27.87332758953795];[113.09971675504269,27.87494988625791];[113.09926566932418,27.875429829106945];[113.09909865016498,27.87548478945156];[113.09833459807506,27.875512585387455];[113.09841151763607,27.876535777681653]}",网站爬取,高德地图,B0FFH028SW,,,,,
湖南省,株洲市,石峰区,住宅,大型住宅小区-高层,都市兰亭一期,,湖南省-株洲市-石峰区-住宅-大型住宅小区-高层-都市兰亭一期,"{[113.09841151763607,27.876535777681653];[113.09954359709486,27.87664011702393];[113.10096580141503,27.876560584048924];[113.10086717724256,27.871786744891065];[113.09996004522483,27.87177443036547];[113.09959297412327,27.872120371792892];[113.09902883071315,27.873220388352088];[113.09964088002641,27.87332758953795];[113.09971675504269,27.87494988625791];[113.09926566932418,27.875429829106945];[113.09909865016498,27.87548478945156];[113.09833459807506,27.875512585387455];[113.09841151763607,27.876535777681653]}",网站爬取,高德地图,B0FFH028SW,,,,,
湖南省,株洲市,天元区,住宅,大型住宅小区-高层,悦湖国际,,湖南省-株洲市-天元区-住宅-大型住宅小区-高层-悦湖国际,"{[113.110833551354,27.8287290394032];[113.112803350494,27.8287351654898];[113.112787387744,27.8281940696124];[113.113925019844,27.8270846121864];[113.114615446054,27.8262359384575];[113.114381335288,27.8260837559605];[113.113205652726,27.8273071870294];[113.112782423296,27.8277339934081];[113.112451262808,27.8279048209174];[113.112182140722,27.8279866748783];[113.111886011846,27.8280565142876];[113.111284767992,27.8281311882981];[113.111043666724,27.8282600773782];[113.110892600017,27.8283970180119];[113.110785547719,27.8285629874747];[113.110753528865,27.8286529848588];[113.110833551354,27.8287290394032]}",网站爬取,高德地图,B0FFGOOIH0,,,,,
湖南省,株洲市,芦淞区,商业购物区,大型商业购物区,智超时尚广场(铁西路),,湖南省-株洲市-芦淞区-商业购物区-大型商业购物区-智超时尚广场(铁西路),"{[113.150627946424,27.8353158703293];[113.150750159327,27.8352860747915];[113.15115681693,27.8358338610869];[113.150934426469,27.8359064907021];[113.150848253775,27.8361993900791];[113.150443562803,27.8361306863608];[113.150627946424,27.8353158703293]}",网站爬取,高德地图,B0FFG2S04O,,,,,
湖南省,株洲市,荷塘区,住宅,大型住宅小区-高层,新桂广场新桂都二期,,湖南省-株洲市-荷塘区-住宅-大型住宅小区-高层-新桂广场新桂都二期,"{[113.15873102523099,27.86691654894043];[113.15946747784552,27.866344827239452];[113.16103635189944,27.867979036203497];[113.16080789862205,27.868156637756467];[113.16098021219472,27.86836999640006];[113.16099320154514,27.868807093932816];[113.16063348676138,27.86910246938829];[113.16084587532258,27.86933790673172];[113.16023866076839,27.86994587156124];[113.15982683814617,27.870360170809544];[113.15956633820149,27.87037868713537];[113.15803754395962,27.868891588594806];[113.15819886198273,27.868753865538597];[113.15848140867263,27.868645373219792];[113.15867678825738,27.868555722110514];[113.15887617887635,27.86842807234091];[113.15899441726022,27.868271266558157];[113.1590505372445,27.868113344794686];[113.15907763616005,27.8675342984617];[113.15905661322674,27.86732322394573];[113.15892437889687,27.867101940341094];[113.15873102523099,27.86691654894043]}",网站爬取,高德地图,B0FFFSRPVR,,,,,
湖南省,株洲市,荷塘区,住宅,大型住宅小区-高层,新桂广场新桂都一期,,湖南省-株洲市-荷塘区-住宅-大型住宅小区-高层-新桂广场新桂都一期,"{[113.15873102523099,27.86691654894043];[113.15946747784552,27.866344827239452];[113.16103635189944,27.867979036203497];[113.16080789862205,27.868156637756467];[113.16098021219472,27.86836999640006];[113.16099320154514,27.868807093932816];[113.16063348676138,27.86910246938829];[113.16084587532258,27.86933790673172];[113.16023866076839,27.86994587156124];[113.15982683814617,27.870360170809544];[113.15956633820149,27.87037868713537];[113.15803754395962,27.868891588594806];[113.15819886198273,27.868753865538597];[113.15848140867263,27.868645373219792];[113.15867678825738,27.868555722110514];[113.15887617887635,27.86842807234091];[113.15899441726022,27.868271266558157];[113.1590505372445,27.868113344794686];[113.15907763616005,27.8675342984617];[113.15905661322674,27.86732322394573];[113.15892437889687,27.867101940341094];[113.15873102523099,27.86691654894043]}",网站爬取,高德地图,B0FFFSRPVR,,,,,
湖南省,株洲市,天元区,住宅,大型住宅小区-高层,华晨·栗雨香堤一期,,湖南省-株洲市-天元区-住宅-大型住宅小区-高层-华晨·栗雨香堤一期,"{[113.08497235005832,27.827515166265194];[113.08466154511149,27.82752727270963];[113.0846745072704,27.827887325171805];[113.08497231952529,27.82788722508108];[113.08496929627648,27.828193274479897];[113.0845375721273,27.828167416821653];[113.08397493810622,27.82822963008565];[113.08338533234455,27.828376881858926];[113.08307454401914,27.828495027295986];[113.08296162879672,27.828457068413634];[113.08285970766528,27.828401102587556];[113.0826139221452,27.827997144383094];[113.08197049402247,27.8269922752472];[113.08192254423567,27.826835272801663];[113.08199749605075,27.826712218524893];[113.0824181807682,27.826633015068484];[113.08280888852813,27.826651847840843];[113.0838841277194,27.826668417617213];[113.0841819308547,27.82663230125391];[113.08489948254658,27.82645602320192];[113.084963443729,27.826441999808015];[113.08499442337859,27.82645499166297];[113.08501240990623,27.826482990179574];[113.08501340181715,27.82657400420861];[113.08500939674782,27.826666020034995];[113.08497235005832,27.827515166265194]}",网站爬取,高德地图,B0FFFOEKPT,,,,,
湖南省,株洲市,天元区,住宅,大型住宅小区-高层,华晨·栗雨香堤二期,,湖南省-株洲市-天元区-住宅-大型住宅小区-高层-华晨·栗雨香堤二期,"{[113.08497235005832,27.827515166265194];[113.08466154511149,27.82752727270963];[113.0846745072704,27.827887325171805];[113.08497231952529,27.82788722508108];[113.08496929627648,27.828193274479897];[113.0845375721273,27.828167416821653];[113.08397493810622,27.82822963008565];[113.08338533234455,27.828376881858926];[113.08307454401914,27.828495027295986];[113.08296162879672,27.828457068413634];[113.08285970766528,27.828401102587556];[113.0826139221452,27.827997144383094];[113.08197049402247,27.8269922752472];[113.08192254423567,27.826835272801663];[113.08199749605075,27.826712218524893];[113.0824181807682,27.826633015068484];[113.08280888852813,27.826651847840843];[113.0838841277194,27.826668417617213];[113.0841819308547,27.82663230125391];[113.08489948254658,27.82645602320192];[113.084963443729,27.826441999808015];[113.08499442337859,27.82645499166297];[113.08501240990623,27.826482990179574];[113.08501340181715,27.82657400420861];[113.08500939674782,27.826666020034995];[113.08497235005832,27.827515166265194]}",网站爬取,高德地图,B0FFFOEKPT,,,,,
湖南省,株洲市,荷塘区,住宅,大型住宅小区-多层,金馨花园一期,,湖南省-株洲市-荷塘区-住宅-大型住宅小区-多层-金馨花园一期,"{[113.17072984874194,27.858756740232344];[113.17082903382645,27.858837939779345];[113.17149331577126,27.858850187184757];[113.17231289810726,27.858828717587514];[113.17230189347933,27.858624663206886];[113.17226984423957,27.858470577757625];[113.17219470985432,27.85834241602233];[113.17173783145167,27.85831055575986];[113.17175687704783,27.858201573375304];[113.17175888596078,27.85813956687101];[113.17125391758395,27.858062608135526];[113.17072984874194,27.858756740232344]}",网站爬取,高德地图,B0FFFOE4H3,,,,,
湖南省,株洲市,荷塘区,住宅,大型住宅小区-多层,金馨花园二期,,湖南省-株洲市-荷塘区-住宅-大型住宅小区-多层-金馨花园二期,"{[113.17072984874194,27.858756740232344];[113.17082903382645,27.858837939779345];[113.17149331577126,27.858850187184757];[113.17231289810726,27.858828717587514];[113.17230189347933,27.858624663206886];[113.17226984423957,27.858470577757625];[113.17219470985432,27.85834241602233];[113.17173783145167,27.85831055575986];[113.17175687704783,27.858201573375304];[113.17175888596078,27.85813956687101];[113.17125391758395,27.858062608135526];[113.17072984874194,27.858756740232344]}",网站爬取,高德地图,B0FFFOE4H3,,,,,
湖南省,株洲市,天元区,住宅,大型住宅小区-高层,高科·总部壹号,,湖南省-株洲市-天元区-住宅-大型住宅小区-高层-高科·总部壹号,"{[113.071268623062,27.8328215371377];[113.07123169054,27.8327285667438];[113.072565729588,27.8307956870286];[113.072688543642,27.8307385372637];[113.072801369522,27.8307344079967];[113.072903209496,27.8307722984506];[113.074097354847,27.8314250814536];[113.074145279392,27.8314820388522];[113.074151263515,27.8315680461688];[113.074118304062,27.831667097575];[113.072860047871,27.8335567935855];[113.072758203051,27.8335809132621];[113.072677328619,27.833576004757];[113.071268623062,27.8328215371377]}",网站爬取,高德地图,B0FFFODXXH,,,,,
